"wday";"hour";"sensor";"sensores";"value_PM25"
"vie\,";2;"SINCA";"PM25_SINCA";8
"vie\,";2;"P5";"value";112,483
"vie\,";2;"SINCA";"PM25_SINCA";8
"vie\,";3;"P1";"value";102,233
"vie\,";3;"SINCA";"PM25_SINCA";6
"vie\,";3;"P2";"value";102,733
"vie\,";3;"SINCA";"PM25_SINCA";6
"vie\,";3;"P3";"value";102,667
"vie\,";3;"SINCA";"PM25_SINCA";6
"vie\,";3;"P4";"value";106,617
"vie\,";3;"SINCA";"PM25_SINCA";6
"vie\,";3;"P5";"value";107,767
"vie\,";3;"SINCA";"PM25_SINCA";6
"vie\,";4;"P1";"value";100,05
"vie\,";4;"SINCA";"PM25_SINCA";4
"vie\,";4;"P2";"value";100,333
"vie\,";4;"SINCA";"PM25_SINCA";4
"vie\,";4;"P3";"value";100,983
"vie\,";4;"SINCA";"PM25_SINCA";4
"vie\,";4;"P4";"value";104,433
"vie\,";4;"SINCA";"PM25_SINCA";4
"vie\,";4;"P5";"value";105,467
"vie\,";4;"SINCA";"PM25_SINCA";4
"vie\,";5;"P1";"value";99,033
"vie\,";5;"SINCA";"PM25_SINCA";6
"vie\,";5;"P2";"value";99,467
"vie\,";5;"SINCA";"PM25_SINCA";6
"vie\,";5;"P3";"value";100,1
"vie\,";5;"SINCA";"PM25_SINCA";6
"vie\,";5;"P4";"value";103,133
"vie\,";5;"SINCA";"PM25_SINCA";6
"vie\,";5;"P5";"value";104,2
"vie\,";5;"SINCA";"PM25_SINCA";6
"vie\,";6;"P1";"value";98,083
"vie\,";6;"SINCA";"PM25_SINCA";7
"vie\,";6;"P2";"value";99,05
"vie\,";6;"SINCA";"PM25_SINCA";7
"vie\,";6;"P3";"value";100
"vie\,";6;"SINCA";"PM25_SINCA";7
"vie\,";6;"P4";"value";102,05
"vie\,";6;"SINCA";"PM25_SINCA";7
"vie\,";6;"P5";"value";103,167
"vie\,";6;"SINCA";"PM25_SINCA";7
"vie\,";7;"P1";"value";99,167
"vie\,";7;"SINCA";"PM25_SINCA";4
"vie\,";7;"P2";"value";99,817
"vie\,";7;"SINCA";"PM25_SINCA";4
"vie\,";7;"P3";"value";100,533
"vie\,";7;"SINCA";"PM25_SINCA";4
"vie\,";7;"P4";"value";102,65
"vie\,";7;"SINCA";"PM25_SINCA";4
"vie\,";7;"P5";"value";104,2
"vie\,";7;"SINCA";"PM25_SINCA";4
"vie\,";8;"P1";"value";103,383
"vie\,";8;"SINCA";"PM25_SINCA";11
"vie\,";8;"P2";"value";103,867
"vie\,";8;"SINCA";"PM25_SINCA";11
"vie\,";8;"P3";"value";103,9
"vie\,";8;"SINCA";"PM25_SINCA";11
"vie\,";8;"P4";"value";105,95
"vie\,";8;"SINCA";"PM25_SINCA";11
"vie\,";8;"P5";"value";108,783
"vie\,";8;"SINCA";"PM25_SINCA";11
"vie\,";9;"P1";"value";101,833
"vie\,";9;"SINCA";"PM25_SINCA";8
"vie\,";9;"P2";"value";102,633
"vie\,";9;"SINCA";"PM25_SINCA";8
"vie\,";9;"P3";"value";103,15
"vie\,";9;"SINCA";"PM25_SINCA";8
"vie\,";9;"P4";"value";104,35
"vie\,";9;"SINCA";"PM25_SINCA";8
"vie\,";9;"P5";"value";107,2
"vie\,";9;"SINCA";"PM25_SINCA";8
"vie\,";10;"P1";"value";136,533
"vie\,";10;"SINCA";"PM25_SINCA";29
"vie\,";10;"P2";"value";139,1
"vie\,";10;"SINCA";"PM25_SINCA";29
"vie\,";10;"P3";"value";137,033
"vie\,";10;"SINCA";"PM25_SINCA";29
"vie\,";10;"P4";"value";143,15
"vie\,";10;"SINCA";"PM25_SINCA";29
"vie\,";10;"P5";"value";143,6
"vie\,";10;"SINCA";"PM25_SINCA";29
"vie\,";11;"P1";"value";149,867
"vie\,";11;"SINCA";"PM25_SINCA";43
"vie\,";11;"P2";"value";153,967
"vie\,";11;"SINCA";"PM25_SINCA";43
"vie\,";11;"P3";"value";151,6
"vie\,";11;"SINCA";"PM25_SINCA";43
"vie\,";11;"P4";"value";165,317
"vie\,";11;"SINCA";"PM25_SINCA";43
"vie\,";11;"P5";"value";162,667
"vie\,";11;"SINCA";"PM25_SINCA";43
"vie\,";12;"P1";"value";172,167
"vie\,";12;"SINCA";"PM25_SINCA";76
"vie\,";12;"P2";"value";180,45
"vie\,";12;"SINCA";"PM25_SINCA";76
"vie\,";12;"P3";"value";173,85
"vie\,";12;"SINCA";"PM25_SINCA";76
"vie\,";12;"P4";"value";200,9
"vie\,";12;"SINCA";"PM25_SINCA";76
"vie\,";12;"P5";"value";191,833
"vie\,";12;"SINCA";"PM25_SINCA";76
"vie\,";13;"P1";"value";185,5
"vie\,";13;"SINCA";"PM25_SINCA";81
"vie\,";13;"P2";"value";195,183
"vie\,";13;"SINCA";"PM25_SINCA";81
"vie\,";13;"P3";"value";188,917
"vie\,";13;"SINCA";"PM25_SINCA";81
"vie\,";13;"P4";"value";211,933
"vie\,";13;"SINCA";"PM25_SINCA";81
"vie\,";13;"P5";"value";207,85
"vie\,";13;"SINCA";"PM25_SINCA";81
"vie\,";14;"P1";"value";192,833
"vie\,";14;"SINCA";"PM25_SINCA";85
"vie\,";14;"P2";"value";202,583
"vie\,";14;"SINCA";"PM25_SINCA";85
"vie\,";14;"P3";"value";196,833
"vie\,";14;"SINCA";"PM25_SINCA";85
