date;hour;wday;variable;sensor;value;variable_SINCA;sensor_SINCA;value_SINCA
06-06-2025 9:00;9;vie\,;PM25;P3;103,15;PM25;SINCA;8
06-06-2025 9:00;9;vie\,;PM25;P4;104,35;PM25;SINCA;8
06-06-2025 9:00;9;vie\,;PM25;P5;107,2;PM25;SINCA;8
06-06-2025 10:00;10;vie\,;PM25;P1;136,533;PM25;SINCA;29
06-06-2025 10:00;10;vie\,;PM25;P2;139,1;PM25;SINCA;29
06-06-2025 10:00;10;vie\,;PM25;P3;137,033;PM25;SINCA;29
06-06-2025 10:00;10;vie\,;PM25;P4;143,15;PM25;SINCA;29
06-06-2025 10:00;10;vie\,;PM25;P5;143,6;PM25;SINCA;29
06-06-2025 11:00;11;vie\,;PM25;P1;149,867;PM25;SINCA;43
06-06-2025 11:00;11;vie\,;PM25;P2;153,967;PM25;SINCA;43
06-06-2025 11:00;11;vie\,;PM25;P3;151,6;PM25;SINCA;43
06-06-2025 11:00;11;vie\,;PM25;P4;165,317;PM25;SINCA;43
06-06-2025 11:00;11;vie\,;PM25;P5;162,667;PM25;SINCA;43
06-06-2025 12:00;12;vie\,;PM25;P1;172,167;PM25;SINCA;76
06-06-2025 12:00;12;vie\,;PM25;P2;180,45;PM25;SINCA;76
06-06-2025 12:00;12;vie\,;PM25;P3;173,85;PM25;SINCA;76
06-06-2025 12:00;12;vie\,;PM25;P4;200,9;PM25;SINCA;76
06-06-2025 12:00;12;vie\,;PM25;P5;191,833;PM25;SINCA;76
06-06-2025 13:00;13;vie\,;PM25;P1;185,5;PM25;SINCA;81
06-06-2025 13:00;13;vie\,;PM25;P2;195,183;PM25;SINCA;81
06-06-2025 13:00;13;vie\,;PM25;P3;188,917;PM25;SINCA;81
06-06-2025 13:00;13;vie\,;PM25;P4;211,933;PM25;SINCA;81
06-06-2025 13:00;13;vie\,;PM25;P5;207,85;PM25;SINCA;81
06-06-2025 14:00;14;vie\,;PM25;P1;192,833;PM25;SINCA;85
06-06-2025 14:00;14;vie\,;PM25;P2;202,583;PM25;SINCA;85
06-06-2025 14:00;14;vie\,;PM25;P3;196,833;PM25;SINCA;85
06-06-2025 14:00;14;vie\,;PM25;P4;218,217;PM25;SINCA;85
06-06-2025 14:00;14;vie\,;PM25;P5;216,633;PM25;SINCA;85
06-06-2025 15:00;15;vie\,;PM25;P1;174,233;PM25;SINCA;59
06-06-2025 15:00;15;vie\,;PM25;P2;182,133;PM25;SINCA;59
06-06-2025 15:00;15;vie\,;PM25;P3;177,033;PM25;SINCA;59
06-06-2025 15:00;15;vie\,;PM25;P4;196,683;PM25;SINCA;59
06-06-2025 15:00;15;vie\,;PM25;P5;192,583;PM25;SINCA;59
06-06-2025 16:00;16;vie\,;PM25;P1;152,083;PM25;SINCA;36
06-06-2025 16:00;16;vie\,;PM25;P2;156,917;PM25;SINCA;36
06-06-2025 16:00;16;vie\,;PM25;P3;153,183;PM25;SINCA;36
06-06-2025 16:00;16;vie\,;PM25;P4;168,6;PM25;SINCA;36
06-06-2025 16:00;16;vie\,;PM25;P5;163,433;PM25;SINCA;36
06-06-2025 17:00;17;vie\,;PM25;P1;154,567;PM25;SINCA;35
06-06-2025 17:00;17;vie\,;PM25;P2;158,817;PM25;SINCA;35
06-06-2025 17:00;17;vie\,;PM25;P3;153,783;PM25;SINCA;35
06-06-2025 17:00;17;vie\,;PM25;P4;174,233;PM25;SINCA;35
06-06-2025 17:00;17;vie\,;PM25;P5;163,85;PM25;SINCA;35
06-06-2025 18:00;18;vie\,;PM25;P1;155,417;PM25;SINCA;35
06-06-2025 18:00;18;vie\,;PM25;P2;160,217;PM25;SINCA;35
06-06-2025 18:00;18;vie\,;PM25;P3;153,883;PM25;SINCA;35
06-06-2025 18:00;18;vie\,;PM25;P4;177,067;PM25;SINCA;35
06-06-2025 18:00;18;vie\,;PM25;P5;163,9;PM25;SINCA;35
