"sensor";"referencia";"predicho";"error";"error_abs";"Clasificacion"
"PM25_P4";27;30,7195309134281;3,71953091342812;3,71953091342812;"Calibrados"
"PM25_P4";23;28,7213468298804;5,72134682988038;5,72134682988038;"Calibrados"
"PM25_P4";18;24,8107693356924;6,81076933569239;6,81076933569239;"Calibrados"
"PM25_P4";14;22,2540936530183;8,25409365301828;8,25409365301828;"Calibrados"
"PM25_P4";12;14,9346152485982;2,93461524859816;2,93461524859816;"Calibrados"
"PM25_P4";9;14,5175930372464;5,51759303724642;5,51759303724642;"Calibrados"
"PM25_P4";6;5,70217528338608;-0,297824716613917;0,297824716613917;"Calibrados"
"PM25_P4";5;4,57496538240265;-0,425034617597348;0,425034617597348;"Calibrados"
"PM25_P4";4;5,23799660944281;1,23799660944281;1,23799660944281;"Calibrados"
"PM25_P4";13;6,80040952663254;-6,19959047336746;6,19959047336746;"Calibrados"
"PM25_P4";10;5,85330322373972;-4,14669677626028;4,14669677626028;"Calibrados"
"PM25_P4";12;7,90830232245798;-4,09169767754202;4,09169767754202;"Calibrados"
"PM25_P4";14;5,25674556444909;-8,74325443555091;8,74325443555091;"Calibrados"
"PM25_P4";30;22,4910122662794;-7,50898773372058;7,50898773372058;"Calibrados"
"PM25_P4";35;28,6554414122825;-6,34455858771745;6,34455858771745;"Calibrados"
"PM25_P4";29;27,5378900638781;-1,46210993612187;1,46210993612187;"Calibrados"
"PM25_P4";33;29,3088140867437;-3,69118591325628;3,69118591325628;"Calibrados"
"PM25_P4";37;30,5303369129103;-6,46966308708975;6,46966308708975;"Calibrados"
"PM25_P4";38;31,6950447239062;-6,30495527609377;6,30495527609377;"Calibrados"
"PM25_P4";39;33,8159492402223;-5,18405075977768;5,18405075977768;"Calibrados"
"PM25_P4";47;37,3668876883808;-9,63311231161919;9,63311231161919;"Calibrados"
"PM25_P4";42;37,3572291358018;-4,64277086419818;4,64277086419818;"Calibrados"
"PM25_P4";44;35,5772147105089;-8,42278528949105;8,42278528949105;"Calibrados"
"PM25_P4";38;34,4505729596772;-3,54942704032278;3,54942704032278;"Calibrados"
"PM25_P4";35;32,8029375197317;-2,19706248026832;2,19706248026832;"Calibrados"
"PM25_P4";28;31,3632450353103;3,36324503531031;3,36324503531031;"Calibrados"
"PM25_P4";29;30,2553522394848;1,25535223948484;1,25535223948484;"Calibrados"
"PM25_P4";25;27,7651501245603;2,76515012456027;2,76515012456027;"Calibrados"
"PM25_P4";20;26,2976182827053;6,29761828270534;6,29761828270534;"Calibrados"
"PM25_P4";17;25,7385585334273;8,73855853342726;8,73855853342726;"Calibrados"
"PM25_P4";17;26,4396558206317;9,43965582063166;9,43965582063166;"Calibrados"
"PM25_P4";17;26,0794486244505;9,07944862445047;9,07944862445047;"Calibrados"
"PM25_P4";23;24,8391768432777;1,83917684327768;1,83917684327768;"Calibrados"
"PM25_P4";23;24,8863333058692;1,88633330586922;1,88633330586922;"Calibrados"
"PM25_P4";17;20,4360131675611;3,43601316756115;3,43601316756115;"Calibrados"
"PM25_P4";29;29,1571179962384;0,157117996238391;0,157117996238391;"Calibrados"
"PM25_P4";24;27,1401849576844;3,14018495768436;3,14018495768436;"Calibrados"
"PM25_P4";35;30,9467909741103;-4,05320902588972;4,05320902588972;"Calibrados"
"PM25_P4";31;30,6530573456786;-0,346942654321388;0,346942654321388;"Calibrados"
"PM25_P4";26;28,0111591402487;2,01115914024869;2,01115914024869;"Calibrados"
"PM25_P4";27;27,0265549273433;0,026554927343291;0,026554927343291;"Calibrados"
"PM25_P4";43;37,5469912864714;-5,45300871352858;5,45300871352858;"Calibrados"
"PM25_P4";51;47,2055438654625;-3,79445613453749;3,79445613453749;"Calibrados"
"PM25_P4";52;49,7713099505639;-2,2286900494361;2,2286900494361;"Calibrados"
"PM25_P4";51;51,7126790189411;0,71267901894111;0,71267901894111;"Calibrados"
"PM25_P4";54;55,4721285727755;1,47212857277548;1,47212857277548;"Calibrados"
"PM25_P4";60;58,1327757332117;-1,86722426678833;1,86722426678833;"Calibrados"
"PM25_P4";50;53,6347309821603;3,63473098216034;3,63473098216034;"Calibrados"
"PM25_P4";39;45,6238138431148;6,6238138431148;6,6238138431148;"Calibrados"
"PM25_P4";45;44,2227555690094;-0,777244430990628;0,777244430990628;"Calibrados"
"PM25_P4";46;41,5615402584215;-4,43845974157852;4,43845974157852;"Calibrados"
"PM25_P4";38;38,7207894998947;0,720789499894686;0,720789499894686;"Calibrados"
"PM25_P4";35;40,037193401396;5,037193401396;5,037193401396;"Calibrados"
"PM25_P4";35;40,5201210303456;5,52012103034556;5,52012103034556;"Calibrados"
"PM25_P4";42;46,8453366692813;4,84533666928132;4,84533666928132;"Calibrados"
"PM25_P4";41;46,9402177446161;5,94021774461611;5,94021774461611;"Calibrados"
"PM25_P4";43;48,6918246623237;5,69182466232373;5,69182466232373;"Calibrados"
"PM25_P4";47;48,7679567826522;1,76795678265224;1,76795678265224;"Calibrados"
"PM25_P4";38;42,6887501594049;4,68875015940491;4,68875015940491;"Calibrados"
"PM25_P4";38;38,0674168254335;0,0674168254335186;0,0674168254335186;"Calibrados"
"PM25_P4";59;59,2974835442077;0,297483544207658;0,297483544207658;"Calibrados"
"PM25_P4";60;53,7767685200867;-6,22323147991332;6,22323147991332;"Calibrados"
"PM25_P4";60;48,4458156466353;-11,5541843533647;11,5541843533647;"Calibrados"
"PM25_P4";52;43,6636958197313;-8,33630418026871;8,33630418026871;"Calibrados"
"PM25_P4";57;51,8263090492822;-5,17369095071781;5,17369095071781;"Calibrados"
"PM25_P4";63;59,1838535138666;-3,81614648613343;3,81614648613343;"Calibrados"
"PM25_P4";60;62,9717105752862;2,9717105752862;2,9717105752862;"Calibrados"
"PM25_P4";57;62,4791243937577;5,47912439375767;5,47912439375767;"Calibrados"
"PM25_P4";58;64,3068634317938;6,3068634317938;6,3068634317938;"Calibrados"
"PM25_P4";59;66,0681289020804;7,06812890208042;7,06812890208042;"Calibrados"
"PM25_P4";48;54,676718360388;6,67671836038797;6,67671836038797;"Calibrados"
"PM25_P4";59;61,6365577187786;2,63655771877861;2,63655771877861;"Calibrados"
"PM25_P4";53;54,1744736262804;1,17447362628042;1,17447362628042;"Calibrados"
"PM25_P4";49;50,2735546846714;1,27355468467145;1,27355468467145;"Calibrados"
"PM25_P4";43;47,4799603887362;4,4799603887362;4,4799603887362;"Calibrados"
"PM25_P4";19;28,3048927686804;9,30489276868035;9,30489276868035;"Calibrados"
"PM25_P4";19;24,3659077669071;5,36590776690711;5,36590776690711;"Calibrados"
"PM25_P4";13;17,2827798255964;4,2827798255964;4,2827798255964;"Calibrados"
"PM25_P4";7;8,19237739831067;1,19237739831067;1,19237739831067;"Calibrados"
"PM25_P4";28;25,2368819494714;-2,76311805052858;2,76311805052858;"Calibrados"
"PM25_P4";24;31,2308660499629;7,23086604996295;7,23086604996295;"Calibrados"
"PM25_P4";16;23,0023474028142;7,00234740281424;7,00234740281424;"Calibrados"
"PM25_P4";12;17,6236699166196;5,62366991661961;5,62366991661961;"Calibrados"
"PM25_P4";15;18,191820068325;3,19182006832497;3,19182006832497;"Calibrados"
"PM25_P4";5;8,45770351915707;3,45770351915707;3,45770351915707;"Calibrados"
"PM25_P4";28;26,6760062837411;-1,3239937162589;1,3239937162589;"Calibrados"
"PM25_P4";11;11,9041023394018;0,904102339401767;0,904102339401767;"Calibrados"
"PM25_P4";17;19,2525564015589;2,25255640155888;2,25255640155888;"Calibrados"
"PM25_P4";35;30,5303369129103;-4,46966308708975;4,46966308708975;"Calibrados"
"PM25_P4";36;31,5052825732366;-4,49471742676335;4,49471742676335;"Calibrados"
